objectid,filename,title,creator,contributor,date,description,subject,latitude,longitude,location,source,identifier,type,format,language,rights,rightsstatement,,image_thumb,image_small
SF11,SF11.jpg,Overhead view of sewing,"Rice, Murray","Peeters, Abby",3/1/2025,An overhead view while Abby sews the leather appliqu horse on to the fabric,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 19.6 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF11,SF11
SF12,SF12.jpg,Checking the design,"Rice, Murray","Peeters, Abby",3/1/2025,Abby checks the design to ensure everything is still in it's right place. ,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 22.3 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF12,SF12
SF13,SF13.jpg,Close-up of sewing process,"Rice, Murray","Peeters, Abby",3/1/2025,A close up of the sewing process as Abby sews on the leather applique horse to the fabric,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 25.8 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF13,SF13
SF14,SF14.jpg,Leather applique horse on denim,"Rice, Murray","Peeters, Abby",3/1/2025,"A leather appliqu horse swed on to denim. The piece is designed digitally, traced and cut from leather, and finally sewed on to the fabric",Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 22 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF14,SF14
SF15,SF15.jpg,Close-up of the leather applique horse,"Rice, Murray","Peeters, Abby",3/1/2025,A close-up of the leather applique horse,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 23.5 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF15,SF15
SF16,SF16.jpg,Snake Farm Creative studio,"Rice, Murray","Peeters, Abby",3/1/2025,"Abby in her studio located in Eldridge, Iowa, as she works under the moniker ""Snake Farm Creative""",Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 16.5 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF16,SF16
SF17,SF17.jpg,"Outside of the studio in Eldridge, Iowa","Rice, Murray","Peeters, Abby",3/1/2025,An outside view of the Snake Farm Creative Studio,Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 27.9 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF17,SF17
SF18,SF18.jpg,Snake Farm Creative at the Nashville Country Music Hall of Fame and Museum,"Rice, Murray","Peeters, Abby",3/1/2025,"Abby next to a piece she made for artist Kaitlin Butts that is on presentation at the Nashville Country Music Hall of Fame and Musuem. The outfit she is wearing is handmade, including the leather horse applique on the pants leg. ",Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,41.6581° N,90.5846° W,"Eldridge, Iowa",Original photo taken by Murray Rice,,Image,JPEG 6000x4000 20.1 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF18,SF18
SF19,SF19.jpg,Abby Peeters and Kaitlin Butts,"Rice, Murray","Peeters, Abby; Butts, Kaitlin",3/5/2025,"Abby and Kaitlin stand infront of Kaitlin's exhibit at the NAshville Country Music Hall of Fame and Museum. The exhibit includes an outfit Abby made, under her moniker Snake Farm Creative, for Butt's music video. ",Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,36.1627° N,86.7816° W,"Nashville, Tennesee; Country Music Hall of Fame",Original photo taken by Murray Rice,,Image,JPEG 3024x4032 9.1 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF19,SF19
SF20,SF20.jpg,Sign at the Nashville Country Music Hall of Fame and Museum,"Rice, Murray","Peeters, Abby",3/5/2025,"The sign at the Nashville Country Music Hall of Fame and Museum that describes the exhibit that features Abby Peeters orginal clothing, mentioned by her moniker Snake Farm Creative. ",Machine sewing; Tailoring; Fashion Design; Textile crafts; Sewing,36.1627° N,86.7816° W,"Nashville, Tennesee; Country Music Hall of Fame",Original photo taken by Murray Rice,,Image,JPEG 3024x4032 8.89 MB,eng,Copyright Murray Rice,All Rights Reserved,,SF20,SF20
